Item Code,Color Code,Grade,Batch No,SQM,Remarks
AR-1101,Bright Silver,BS,LJ-2422,2612,In Stock
AR-1101,Bright Silver,BS,LJ-2423,2852,In Stock
AR-1101,Bright Silver,BS,SB-175,218,In Stock
AR-1101,Bright Silver,BS,SB-176,1386,In Stock
AR-1101,Bright Silver,BS,ZT-006,286,In Stock
AR-1101,Bright Silver,BS,ZT-008,7056,In Stock
AR-1101,Bright Silver,BS,ZT-009,7342,In Stock
AR-1101,Bright Silver,BS,ZT-011,11443,In Stock
AR-1101,Bright Silver,BS,ZT-012,12085,In Stock
AR-1101,Bright Silver,GL,LJ-5083,1072,In Stock
AR-1101,Bright Silver,GL,LJ-5138,2079,In Stock
AR-1101,Bright Silver,GL,LJ-5139,4251,In Stock
AR-1101,Bright Silver,MQ,LJ-5054,3856,In Stock
AR-1101,Bright Silver,RB/TI,ETB0136,790,In Stock
AR-1101,Bright Silver,RB/TI,ETB0528A,186,In Stock
AR-1101,Bright Silver,RB/TI,ETB0531,2690,In Stock
AR-1101,Bright Silver,RB/TI,ETB0533,3024,In Stock
AR-1101,Bright Silver,RB/TI,ETB0534,1874,In Stock
AR-1102,Silver,GL,ETA203A,206,In Stock
AR-1102,Silver,GL,ETA203D,646,In Stock
AR-1102,Silver,GL,ETA203E,1973,In Stock
AR-1102,Silver,GL,LJ-5092,1007,In Stock
AR-1102,Silver,RB/TI,ETA187,286,In Stock
AR-1102,Silver,RB/TI,ETB0012,710,In Stock
AR-1102,Silver,RB/TI,ETB0494A,463,In Stock
AR-1102,Silver,RB/TI,ETB0494B,4082,In Stock
AR-1102,Silver,RB/TI,ETB0495,2236,In Stock
AR-1104,Champagne Gold,GL,LJ-5086,4402,In Stock
AR-1104,Champagne Gold,RB/TI,ETB0041,939,In Stock
AR-1104,Champagne Gold,RB/TI,ETB0135,1173,In Stock
AR-1107,Red,GL,LJ-5067,1089,In Stock
AR-1107,Red,GL,LJ-5093,4412,In Stock
AR-1107,Red,GL,LJ-5094,4447,In Stock
AR-1107,Red,RB/TI,ETB0011,465,In Stock
AR-1107,Red,RB/TI,LJ-4409,1489,In Stock
AR-1107,Red,RB/TI,LJ-4671,1244,In Stock
AR-1108,Yellow,GL,LJ-5068,3698,In Stock
AR-1108,Yellow,GL,LJ-5095,4471,In Stock
AR-1108,Yellow,GL,LJ-5096,4512,In Stock
AR-1108,Yellow,RB/TI,ETB0139,861,In Stock
AR-1108,Yellow,RB/TI,LJ-4836,763,In Stock
AR-1108,Yellow,RB/TI,LJ-5019,2447,In Stock
AR-1109,Rich Gold,GL,ETA161B,2821,In Stock
AR-1109,Rich Gold,RB/TI,ETA091B,1203,In Stock
AR-1109,Rich Gold,RB/TI,ETB0150,1251,In Stock
AR-1110,Tomato Red,RB/TI,ETB0461,1191,In Stock
AR-1110,Tomato Red,RB/TI,ETB0462,2843,In Stock
AR-1111,Pure White,GL,GK-2600,4289,In Stock
AR-1111,Pure White,GL,GK-2601,5612,In Stock
AR-1111,Pure White,GL,GK-2602,5725,In Stock
AR-1111,Pure White,GL,ZT-556,9162,In Stock
AR-1111,Pure White,MQ,GK-2611,8433,In Stock
AR-1111,Pure White,MQ,GK-2612,9464,In Stock
AR-1111,Pure White,RB/TI,ETA020,948,In Stock
AR-1111,Pure White,RB/TI,ETB0141,800,In Stock
AR-1111,Pure White,RB/TI,ETB0662A,3127,In Stock
AR-1111,Pure White,RB/TI,ETB0662B,2960,In Stock
AR-1112,Off White,GL,LJ-5110,230,In Stock
AR-1112,Off White,GL,LJ-5111,4478,In Stock
AR-1112,Off White,GL,LJ-5112,5763,In Stock
AR-1112,Off White,GL,LJ-5158,4038,In Stock
AR-1112,Off White,GL,LJ-5159,4478,In Stock
AR-1112,Off White,GL,ZT-553,8814,In Stock
AR-1112,Off White,MQ,GK-2609,8344,In Stock
AR-1112,Off White,MQ,GK-2610,8605,In Stock
AR-1112,Off White,RB/TI,ETB0405,749,In Stock
AR-1112,Off White,RB/TI,ETB0616,987,In Stock
AR-1112,Off White,RB/TI,ETB0617,600,In Stock
AR-1113,Copper,GL,LJ-5087,3309,In Stock
AR-1113,Copper,RB/TI,ETA106,1047,In Stock
AR-1113,Copper,RB/TI,ETB0140,550,In Stock
AR-1113,Copper,RB/TI,ETB0543,3455,In Stock
AR-1114,Black,GL,LJ-5114,3017,In Stock
AR-1114,Black,GL,LJ-5115,5845,In Stock
AR-1114,Black,GL,LJ-5123,4337,In Stock
AR-1114,Black,GL,LJ-5124,4364,In Stock
AR-1114,Black,RB/TI,ETB0323C,1017,In Stock
AR-1114,Black,RB/TI,ETB0507,2231,In Stock
AR-1114,Black,RB/TI,ETB0605,1796,In Stock
AR-1114,Black,RB/TI,ETB0606,2011,In Stock
AR-1115,Dark Green,GL,LJ-5116,3065,In Stock
